"rep","n","sce","method","bias_rel_pct","cover_pct","auc"
10,50,1,"GLM",67.3976432822249,100,0.720142602495544
10,50,1,"IV-TS",57.3211360384472,100,0.520499108734403
10,50,1,"IV-G",742.087515950746,0,0.5
10,50,1,"IV-GMM",59.8397660147003,100,0.720142602495544
11,50,1,"GLM",18.1152163847796,100,0.7
11,50,1,"IV-TS",59.5514807949298,100,0.54
11,50,1,"IV-G",60.2691654241955,100,0.7
11,50,1,"IV-GMM",58.7701496753182,100,0.7
12,50,1,"GLM",862.960784407405,100,0.729166666666667
12,50,1,"IV-TS",160.605667869105,100,0.520833333333333
12,50,1,"IV-G",NA,NA,NA
12,50,1,"IV-GMM",852.690703596995,100,0.729166666666667
13,50,1,"GLM",49.2824027475465,100,0.600694444444444
13,50,1,"IV-TS",71.4627128451494,100,0.520833333333333
13,50,1,"IV-G",77.6151097123937,100,0.600694444444444
13,50,1,"IV-GMM",72.4235987759716,100,0.600694444444444
14,50,1,"GLM",1.29594869889986,100,0.649038461538462
14,50,1,"IV-TS",33.6179969852337,100,0.533653846153846
14,50,1,"IV-G",NA,NA,NA
14,50,1,"IV-GMM",469.248370916054,100,0.649038461538462
15,50,1,"GLM",21.0184064323415,100,0.719251336898396
15,50,1,"IV-TS",137.168261976102,100,0.522281639928699
15,50,1,"IV-G",127.980788101177,100,0.719251336898396
15,50,1,"IV-GMM",140.788238028104,100,0.719251336898396
16,50,1,"GLM",858.958649023753,100,0.75
16,50,1,"IV-TS",35.3670436927876,100,0.538461538461538
16,50,1,"IV-G",791.107450107428,0,0.5
16,50,1,"IV-GMM",29.9908925157959,100,0.75
17,50,1,"GLM",848.576680783789,100,0.692307692307692
17,50,1,"IV-TS",63.2707818823309,100,0.517628205128205
17,50,1,"IV-G",753.607175539038,0,0.5
17,50,1,"IV-GMM",62.0076495394823,100,0.692307692307692
18,50,1,"GLM",13.2699472686929,100,0.675
18,50,1,"IV-TS",152.219076263544,100,0.526666666666667
18,50,1,"IV-G",NA,NA,NA
18,50,1,"IV-GMM",152.073197323771,100,0.675
19,50,1,"GLM",880.108021961347,100,0.710526315789474
19,50,1,"IV-TS",40.8549636767116,100,0.537351443123939
19,50,1,"IV-G",780.702984619038,0,0.5
19,50,1,"IV-GMM",895.914707441939,100,0.710526315789474
20,50,1,"GLM",64.7918432981542,100,0.798850574712644
20,50,1,"IV-TS",19.5352380823015,100,0.578817733990148
20,50,1,"IV-G",57.7595279394214,100,0.798850574712644
20,50,1,"IV-GMM",32.5960688319488,100,0.798850574712644
21,50,1,"GLM",6.40989115509711,100,0.66256157635468
21,50,1,"IV-TS",105.068518639971,100,0.503284072249589
21,50,1,"IV-G",103.898075390027,100,0.33743842364532
21,50,1,"IV-GMM",105.086825523859,100,0.33743842364532
22,50,1,"GLM",42.3348346447666,100,0.673234811165846
22,50,1,"IV-TS",12.2309660090256,100,0.524630541871921
22,50,1,"IV-G",50.9585304018963,100,0.673234811165846
22,50,1,"IV-GMM",6.64887268330764,100,0.673234811165846
23,50,1,"GLM",58.3312558771535,100,0.708333333333333
23,50,1,"IV-TS",80.1610502386426,100,0.516666666666667
23,50,1,"IV-G",66.4179471724922,100,0.708333333333333
23,50,1,"IV-GMM",80.4878581709624,100,0.708333333333333
24,50,1,"GLM",877.966014028508,100,0.782608695652174
24,50,1,"IV-TS",85.9535121138472,100,0.504830917874396
24,50,1,"IV-G",698.790067230345,100,0.5
24,50,1,"IV-GMM",887.710025101264,100,0.782608695652174
25,50,1,"GLM",52.2261218860984,100,0.766666666666667
25,50,1,"IV-TS",121.745042322395,100,0.6325
25,50,1,"IV-G",57.5693604202069,100,0.766666666666667
25,50,1,"IV-GMM",879.215563203493,100,0.766666666666667
26,50,1,"GLM",862.960784638557,100,0.681818181818182
26,50,1,"IV-TS",121.989484427186,100,0.649350649350649
26,50,1,"IV-G",NA,NA,NA
26,50,1,"IV-GMM",1246.77124544583,100,0.681818181818182
27,50,1,"GLM",879.784396238676,100,0.772727272727273
27,50,1,"IV-TS",37.2134649706947,100,0.550324675324675
27,50,1,"IV-G",787.578023499832,0,0.5
27,50,1,"IV-GMM",36.4548235653851,100,0.772727272727273
28,50,1,"GLM",53.7870549238351,100,0.591346153846154
28,50,1,"IV-TS",271.015534913122,100,0.5625
