"n","sce","method","bias_rel_pct","cover_pct","auc"
50,3,"IV-G",77.8551575030756,96.6292134831461,0.739264438850537
100,3,"IV-G",35.5253817621735,94,0.755531975195655
500,3,"IV-G",16.7470566192818,89,0.758780699806858
1000,3,"IV-G",15.5048859488361,78,0.755363580746917
5000,3,"IV-G",12.4609032170918,44,0.756230337174173
10000,3,"IV-G",13.1803455773832,8,0.754612553689773
50,4,"IV-G",44.9685565253856,90.4255319148936,0.761218588069029
100,4,"IV-G",27.2238625466005,88.7755102040816,0.751345224563886
500,4,"IV-G",14.9063692108264,86,0.745970938556868
1000,4,"IV-G",12.4746906616773,79,0.746778380406008
5000,4,"IV-G",13.7837175782486,19,0.744315808879942
10000,4,"IV-G",13.6870368096198,0,0.744437067219327
50,5,"IV-G",31.6898089656328,98.0769230769231,0.725463365983773
100,5,"IV-G",26.4068552728806,88.3116883116883,0.71709256717708
500,5,"IV-G",14.165606351512,84,0.731196090890641
1000,5,"IV-G",15.4197563923418,59,0.727952793941144
5000,5,"IV-G",13.5201042050875,8,0.729919496444224
10000,5,"IV-G",13.1681699704627,0,0.730161602402325
50,1,"IV-GMM",481.985606281155,99,0.674217682641528
100,1,"IV-GMM",342.200987259671,100,0.648559876596185
500,1,"IV-GMM",94.1204264505561,98,0.68306156253556
1000,1,"IV-GMM",44.193457691141,94,0.693319702889412
5000,1,"IV-GMM",21.8711587448305,79,0.703709919236704
10000,1,"IV-GMM",22.358007785184,47,0.702981466440955
50,2,"IV-GMM",213.851277404472,100,0.738852474544822
100,2,"IV-GMM",96.1522680289822,97,0.736181847208604
500,2,"IV-GMM",24.6759675460589,90,0.746843681361688
1000,2,"IV-GMM",22.8155474855751,77,0.746461829304834
5000,2,"IV-GMM",19.7311855898872,34,0.746062509281604
10000,2,"IV-GMM",18.8824041805299,8,0.746550794025651
50,3,"IV-GMM",122.967897139519,97,0.755653287251698
100,3,"IV-GMM",37.0353799701781,93,0.755531975195655
500,3,"IV-GMM",17.1447927314977,88,0.758780699806858
1000,3,"IV-GMM",17.318526904134,69,0.755363580746917
5000,3,"IV-GMM",15.4860755380608,20,0.756230337174173
10000,3,"IV-GMM",16.4274933369319,0,0.754612553689773
50,4,"IV-GMM",39.6818985709682,95,0.762892564073423
100,4,"IV-GMM",27.3642636414986,92,0.750691863196151
500,4,"IV-GMM",13.3805311747427,87,0.745970938556868
1000,4,"IV-GMM",10.682976410122,81,0.746778380406008
5000,4,"IV-GMM",12.0687007652094,19,0.744315808879942
10000,4,"IV-GMM",12.0933800535395,3,0.744437067219327
50,5,"IV-GMM",33.2627351658652,95,0.723819704649043
100,5,"IV-GMM",23.2156547291631,91,0.718277002518021
500,5,"IV-GMM",11.316512452199,89,0.731196090890641
1000,5,"IV-GMM",12.2829554099837,68,0.727952793941144
5000,5,"IV-GMM",10.4757606648406,17,0.729919496444224
10000,5,"IV-GMM",10.2352538670164,2,0.730161602402325
50,1,"IV-TS",142.784345394633,100,0.560425538130547
100,1,"IV-TS",104.162678433422,100,0.547249961358764
500,1,"IV-TS",41.1710051814237,99,0.535552986749317
1000,1,"IV-TS",31.979980093844,93,0.536336898989472
5000,1,"IV-TS",24.531565368294,56,0.536041330467706
10000,1,"IV-TS",25.9172976789605,25,0.534598971445163
50,2,"IV-TS",71.9810861136746,97,0.57902157694574
100,2,"IV-TS",47.8314694759516,97,0.570817114516083
500,2,"IV-TS",24.6136840786461,88,0.572624493269384
1000,2,"IV-TS",25.5591139889977,64,0.568367309383492
5000,2,"IV-TS",24.2509261297877,3,0.568131133526682
10000,2,"IV-TS",23.5052879459293,0,0.569103284982319
50,3,"IV-TS",45.9921641011899,98,0.613420377389083
100,3,"IV-TS",32.6384739733343,93,0.603136278067731
500,3,"IV-TS",19.1250526913964,80,0.608509710532138
1000,3,"IV-TS",21.4349470124211,48,0.604052841095498
5000,3,"IV-TS",20.1144736746475,1,0.605537826300078
10000,3,"IV-TS",20.9044089551619,0,0.604574969830699
